Date,ProductName,Category,SalesVolume,PricePerUnit
1962-07-02,Apple,Fruit,92,1.77
1962-07-02,Banana,Fruit,27,2.8
1962-07-02,Carrot,Vegetable,132,4.56
1962-07-02,Orange,Fruit,139,3.7
1962-07-02,Tomato,Vegetable,22,1.55
1962-07-03,Apple,Fruit,46,1.58
1962-07-03,Banana,Fruit,141,3.96
1962-07-03,Carrot,Vegetable,133,4.05
1962-07-03,Orange,Fruit,144,3.08
1962-07-03,Tomato,Vegetable,137,1.48
1962-07-04,Apple,Fruit,50,3.97
1962-07-04,Banana,Fruit,86,1.47
1962-07-04,Carrot,Vegetable,36,4.8
1962-07-04,Orange,Fruit,115,2.6
1962-07-04,Tomato,Vegetable,78,1.49
1962-07-05,Apple,Fruit,65,1.47
1962-07-05,Banana,Fruit,98,4.46
1962-07-05,Carrot,Vegetable,126,1.51
1962-07-05,Orange,Fruit,96,2.42
1962-07-05,Tomato,Vegetable,146,4.54
1962-07-06,Apple,Fruit,143,2.44
1962-07-06,Banana,Fruit,47,2.99
1962-07-06,Carrot,Vegetable,33,4.0
1962-07-06,Orange,Fruit,67,2.7
1962-07-06,Tomato,Vegetable,31,2.28
1962-07-07,Apple,Fruit,101,2.23
1962-07-07,Banana,Fruit,128,1.31
1962-07-07,Carrot,Vegetable,51,3.75
1962-07-07,Orange,Fruit,123,1.94
1962-07-07,Tomato,Vegetable,105,1.08
1962-07-08,Apple,Fruit,109,1.4
1962-07-08,Banana,Fruit,48,3.86
1962-07-08,Carrot,Vegetable,32,2.06
1962-07-08,Orange,Fruit,40,4.46
1962-07-08,Tomato,Vegetable,138,1.16
1962-07-09,Apple,Fruit,144,2.33
1962-07-09,Banana,Fruit,75,1.11
1962-07-09,Carrot,Vegetable,96,1.67
1962-07-09,Orange,Fruit,148,2.76
1962-07-09,Tomato,Vegetable,55,3.34
1962-07-10,Apple,Fruit,24,1.37
1962-07-10,Banana,Fruit,26,1.56
1962-07-10,Carrot,Vegetable,115,4.97
1962-07-10,Orange,Fruit,115,1.79
1962-07-10,Tomato,Vegetable,65,1.68
1962-07-11,Apple,Fruit,115,4.64
1962-07-11,Banana,Fruit,23,1.92
1962-07-11,Carrot,Vegetable,113,1.25
1962-07-11,Orange,Fruit,26,1.64
1962-07-11,Tomato,Vegetable,70,2.21
1962-07-12,Apple,Fruit,87,2.14
1962-07-12,Banana,Fruit,41,1.92
1962-07-12,Carrot,Vegetable,100,1.98
1962-07-12,Orange,Fruit,20,2.03
1962-07-12,Tomato,Vegetable,21,1.67
1962-07-13,Apple,Fruit,110,2.13
1962-07-13,Banana,Fruit,133,4.64
1962-07-13,Carrot,Vegetable,131,4.44
1962-07-13,Orange,Fruit,76,4.03
1962-07-13,Tomato,Vegetable,90,2.55
1962-07-14,Apple,Fruit,72,2.23
1962-07-14,Banana,Fruit,52,3.65
1962-07-14,Carrot,Vegetable,61,3.01
1962-07-14,Orange,Fruit,35,4.48
1962-07-14,Tomato,Vegetable,89,3.01
1962-07-15,Apple,Fruit,29,4.85
1962-07-15,Banana,Fruit,102,1.57
1962-07-15,Carrot,Vegetable,41,4.33
1962-07-15,Orange,Fruit,68,1.59
1962-07-15,Tomato,Vegetable,76,2.06
1962-07-16,Apple,Fruit,142,2.91
1962-07-16,Banana,Fruit,64,1.45
1962-07-16,Carrot,Vegetable,75,3.58
1962-07-16,Orange,Fruit,130,2.67
1962-07-16,Tomato,Vegetable,134,4.33
1962-07-17,Apple,Fruit,107,1.62
1962-07-17,Banana,Fruit,42,3.4
1962-07-17,Carrot,Vegetable,95,2.79
1962-07-17,Orange,Fruit,84,4.26
1962-07-17,Tomato,Vegetable,51,3.11
1962-07-18,Apple,Fruit,102,4.28
1962-07-18,Banana,Fruit,58,4.74
1962-07-18,Carrot,Vegetable,103,3.63
1962-07-18,Orange,Fruit,59,3.98
1962-07-18,Tomato,Vegetable,32,3.19
1962-07-19,Apple,Fruit,39,2.83
1962-07-19,Banana,Fruit,89,4.22
1962-07-19,Carrot,Vegetable,100,2.21
1962-07-19,Orange,Fruit,60,3.55
1962-07-19,Tomato,Vegetable,121,4.44
1962-07-20,Apple,Fruit,66,2.3
1962-07-20,Banana,Fruit,51,3.45
1962-07-20,Carrot,Vegetable,36,1.16
1962-07-20,Orange,Fruit,63,2.03
1962-07-20,Tomato,Vegetable,44,4.06
1962-07-21,Apple,Fruit,52,1.15
1962-07-21,Banana,Fruit,148,1.23
1962-07-21,Carrot,Vegetable,79,4.91
1962-07-21,Orange,Fruit,20,4.03
1962-07-21,Tomato,Vegetable,58,4.21
1962-07-22,Apple,Fruit,98,1.38
1962-07-22,Banana,Fruit,116,1.52
1962-07-22,Carrot,Vegetable,78,3.63
1962-07-22,Orange,Fruit,123,1.0
1962-07-22,Tomato,Vegetable,92,1.38
1962-07-23,Apple,Fruit,104,3.37
1962-07-23,Banana,Fruit,147,1.74
1962-07-23,Carrot,Vegetable,37,4.38
1962-07-23,Orange,Fruit,135,4.6
1962-07-23,Tomato,Vegetable,63,2.03
1962-07-24,Apple,Fruit,108,1.24
1962-07-24,Banana,Fruit,28,3.14
